Date,AAPL,GOOGL,MSFT,AMZN,NVDA,TSLA,META,NFLX,GC=F,SI=F,CL=F,NG=F,^GSPC,^IXIC
2023-12-26,191.42930603027344,140.55059814453125,369.84686279296875,153.41000366210938,49.25429916381836,256.6099853515625,352.656005859375,491.19000244140625,2058.199951171875,24.143999099731445,75.56999969482422,2.549999952316284,4774.75,15074.5703125
2023-12-27,191.5284423828125,139.40847778320312,369.2644348144531,153.33999633789062,49.39223861694336,261.44000244140625,355.6375732421875,491.7900085449219,2081.89990234375,24.375,74.11000061035156,2.61899995803833,4781.580078125,15099.1796875
2023-12-28,191.95486450195312,139.26942443847656,370.4588928222656,153.3800048828125,49.4971809387207,253.17999267578125,356.1246337890625,490.510009765625,2073.89990234375,24.134000778198242,71.7699966430664,2.556999921798706,4783.35009765625,15095.1396484375
2023-12-29,190.9136505126953,138.733154296875,371.2091369628906,151.94000244140625,49.4971809387207,248.47999572753906,351.79132080078125,486.8800048828125,2062.39990234375,23.85300064086914,71.6500015258789,2.5139999389648438,4769.830078125,15011.349609375
2024-01-02,184.0814971923828,137.2235565185547,366.1055603027344,149.92999267578125,48.143856048583984,248.4199981689453,344.1683044433594,468.5,2064.39990234375,23.732999801635742,70.37999725341797,2.568000078201294,4742.830078125,14765.9404296875
2024-01-03,182.70318603515625,137.9684295654297,365.8389892578125,148.47000122070312,47.5451545715332,238.4499969482422,342.3594970703125,470.260009765625,2034.199951171875,22.945999145507812,72.69999694824219,2.6679999828338623,4704.81005859375,14592.2099609375
2024-01-04,180.38282775878906,135.4557647705078,363.21319580078125,144.57000732421875,47.97394561767578,237.92999267578125,344.9931945800781,474.6700134277344,2042.300048828125,22.98900032043457,72.19000244140625,2.821000099182129,4688.68017578125,14510.2998046875
2024-01-05,179.65895080566406,134.80026245117188,363.025634765625,145.24000549316406,49.07239532470703,237.49000549316406,349.7936096191406,474.05999755859375,2042.4000244140625,23.121999740600586,73.80999755859375,2.8929998874664307,4697.240234375,14524.0703125
2024-01-08,184.00218200683594,137.8889923095703,369.8764953613281,149.10000610351562,52.22681427001953,240.4499969482422,356.4624938964844,485.0299987792969,2026.5999755859375,23.1200008392334,70.7699966430664,2.9800000190734863,4763.5400390625,14843.76953125
2024-01-09,183.58570861816406,139.9844970703125,370.96234130859375,151.3699951171875,53.113372802734375,234.9600067138672,355.2400207519531,482.0899963378906,2026.4000244140625,22.90399932861328,72.23999786376953,3.190000057220459,4756.5,14857.7099609375
2024-01-10,184.6268768310547,141.30540466308594,377.8526306152344,153.72999572753906,54.32276153564453,233.94000244140625,368.2001647949219,478.3299865722656,2021.699951171875,22.884000778198242,71.37000274658203,3.0390000343322754,4783.4501953125,14969.650390625
2024-01-11,184.03189086914062,141.10679626464844,379.6888122558594,155.17999267578125,54.794525146484375,227.22000122070312,367.40509033203125,492.2300109863281,2014.300048828125,22.53700065612793,72.0199966430664,3.0969998836517334,4780.240234375,14970.1904296875
2024-01-12,184.35914611816406,141.6728515625,383.47943115234375,154.6199951171875,54.68257522583008,218.88999938964844,372.1955261230469,492.1600036621094,2046.699951171875,23.16200065612793,72.68000030517578,3.312999963760376,4783.830078125,14972.759765625
2024-01-16,182.08839416503906,141.51397705078125,385.2563171386719,153.16000366210938,56.35374450683594,219.91000366210938,365.2085876464844,481.239990234375,2026.0,22.933000564575195,72.4000015258789,2.9000000953674316,4765.97998046875,14944.349609375
2024-01-17,181.1463623046875,140.50094604492188,384.46661376953125,151.7100067138672,56.024906158447266,215.5500030517578,366.113037109375,480.3299865722656,2002.5999755859375,22.516000747680664,72.55999755859375,2.869999885559082,4739.2099609375,14855.6201171875
2024-01-18,187.04640197753906,142.4971923828125,388.8100891113281,153.5,57.07838439941406,211.8800048828125,373.825439453125,485.30999755859375,2018.5999755859375,22.66699981689453,74.08000183105469,2.697000026702881,4780.93994140625,15055.650390625
2024-01-19,189.9517822265625,145.37733459472656,393.5484313964844,155.33999633789062,59.461185455322266,212.19000244140625,381.10064697265625,482.95001220703125,2026.5,22.570999145507812,73.41000366210938,2.5190000534057617,4839.81005859375,15310.9697265625
2024-01-22,192.26223754882812,144.99000549316406,391.4161682128906,154.77999877929688,59.62410354614258,208.8000030517578,379.44085693359375,485.7099914550781,2019.800048828125,22.163000106811523,75.19000244140625,2.4189999103546143,4850.43017578125,15360.2900390625
2024-01-23,193.5413818359375,146.0327911376953,393.7754211425781,156.02000427246094,59.842994689941406,209.13999938964844,382.8399353027344,492.19000244140625,2023.699951171875,22.333999633789062,74.37000274658203,2.450000047683716,4864.60009765625,15425.9404296875
2024-01-24,192.86712646484375,147.68142700195312,397.3884582519531,156.8699951171875,61.33124542236328,207.8300018310547,388.30621337890625,544.8699951171875,2013.9000244140625,22.7549991607666,75.08999633789062,2.6410000324249268,4868.5498046875,15481.919921875
2024-01-25,192.53988647460938,150.82969665527344,399.6687927246094,157.75,61.586124420166016,182.6300048828125,390.77099609375,562.0,2016.9000244140625,22.808000564575195,77.36000061035156,2.571000099182129,4894.16015625,15510.5
2024-01-26,190.80459594726562,151.14752197265625,398.7408447265625,159.1199951171875,61.00041198730469,183.25,391.7251892089844,570.4199829101562,2016.800048828125,22.7549991607666,78.01000213623047,2.7119998931884766,4890.97021484375,15455.3603515625
2024-01-29,190.12037658691406,152.45846557617188,404.4564208984375,161.25999450683594,62.43368911743164,190.92999267578125,398.56298828125,575.7899780273438,2025.199951171875,23.13800048828125,76.77999877929688,2.490000009536743,4927.93017578125,15628.0400390625
2024-01-30,186.4613494873047,150.4225311279297,403.3409423828125,159.0,62.74253845214844,191.58999633789062,397.6088562011719,562.8499755859375,2031.5,23.10700035095215,77.81999969482422,2.0769999027252197,4924.97021484375,15509.900390625
2024-01-31,182.85191345214844,139.14035034179688,392.4723815917969,155.1999969482422,61.49617004394531,187.2899932861328,387.7496643066406,564.1099853515625,2048.39990234375,23.051000595092773,75.8499984741211,2.0999999046325684,4845.64990234375,15164.009765625
2024-02-01,185.291259765625,140.19308471679688,398.5927734375,159.27999877929688,62.99541091918945,188.86000061035156,392.3612060546875,567.510009765625,2053.0,23.1299991607666,73.81999969482422,2.049999952316284,4906.18994140625,15361.6396484375
2024-02-02,184.2897491455078,141.4047088623047,405.9371643066406,171.80999755859375,66.12684631347656,187.91000366210938,472.0797424316406,564.6400146484375,2036.0999755859375,22.701000213623047,72.27999877929688,2.0789999961853027,4958.60986328125,15628.9501953125
2024-02-05,186.10438537597656,142.69581604003906,400.4387512207031,170.30999755859375,69.29725646972656,181.05999755859375,456.5952453613281,562.0599975585938,2025.699951171875,22.334999084472656,72.77999877929688,2.0820000171661377,4942.81005859375,15597.6796875
2024-02-06,187.7107696533203,143.11294555664062,400.2807922363281,169.14999389648438,68.18881225585938,185.10000610351562,451.9339599609375,555.8800048828125,2034.5,22.39299964904785,73.30999755859375,2.009000062942505,4954.22998046875,15609.0
2024-02-07,187.8198699951172,144.54307556152344,408.7308044433594,170.52999877929688,70.06385803222656,187.5800018310547,466.71282958984375,559.2999877929688,2035.199951171875,22.277999877929688,73.86000061035156,1.9670000076293945,4995.06005859375,15756.6396484375
